Half	PDT	half
Mideast	JJ	Mideast
diplomacy	NN	diplomacy
and	CC	and
its	PP$	its
desire	NN	desire
to	TO	to
reshape	VV	reshape
the	DT	the
U	NP	U
.	SENT	.
led	VVN	lead
world	NN	world
order	NN	order
building	NN	building
on	IN	on
the	DT	the
historic	JJ	historic
deal	NN	deal
it	PP	it
brokered	VVD	broker
this	DT	this
year	NN	year
,	,	,
restoring	VVG	restore
ties	NNS	tie
between	IN	between
Iran	NP	Iran
and	CC	and
Saudi	NP	Saudi
Arabia	NP	Arabia
.	SENT	.
China	NP	China
says	VVZ	say
it	PP	it
'	''	'
s	NN	S
sending	VVG	send
a	DT	a
specia	NN	specia
to	TO	to
the	DT	the
Middle	NP	Middle
East	NP	East
to	TO	to
help	VV	help
with	IN	with
a	DT	a
political	JJ	political
settlem	NN	settlem
China	NP	China
and	CC	and
Russia	NP	Russia
now	RB	now
calling	VVG	call
for	IN	for
a	DT	a
cease	VVP	cease
fire	NN	fire
in	IN	in
positioning	VVG	position
themselves	PP	themselves
as	IN	as
possib	NN	possib
Peacemakers	NNS	peacemaker
,	,	,
both	CC	both
ignoring	VVG	ignore
the	DT	the
irony	NN	irony
of	IN	of
Putin	NP	Putin
brutal	JJ	brutal
war	NN	war
,	,	,
spilling	VVG	spill
blood	NN	blood
on	IN	on
the	DT	the
battlefields	NNS	battlefield
of	IN	of
Ukraine	NP	Ukraine
.	SENT	.
Far	RB	far
from	IN	from
the	DT	the
front	JJ	front
lines	NNS	line
,	,	,
the	DT	the
leaders	NNS	leader
and	CC	and
representatives	NNS	representative
of	IN	of
some	DT	some
140	CD	@card@
nations	NNS	nation
are	VBP	be
expected	VVN	expect
here	RB	here
in	IN	in
the	DT	the
Chinese	JJ	Chinese
capital	NN	capital
.	SENT	.
Leaders	NNS	leader
of	IN	of
key	JJ	key
Western	JJ	Western
allies	NNS	ally
noticeably	RB	noticeably
absent	VVP	absent
a	DT	a
perfectly	RB	perfectly
timed	VVN	time
distraction	NN	distraction
from	IN	from
Putin	NP	Putin
'	POS	'
s	JJ	s
problems	NNS	problem
at	IN	at
home	NN	home
,	,	,
parading	VVG	parade
himself	PP	himself
before	RB	before
flocks	VVZ	flock
of	IN	of
friendly	JJ	friendly
state	NN	state
media	NNS	medium
outlets	NNS	outlet
.	SENT	.
Putin	NP	Putin
'	POS	'
s	JJ	s
heaping	JJ	heaping
praise	NN	praise
on	IN	on
China	NP	China
'	POS	'
s	JJ	s
powerful	JJ	powerful
leader	NN	leader
and	CC	and
Russia	NP	Russia
'	POS	'
s	JJ	s
loyal	JJ	loyal
patron	NN	patron
,	,	,
Xi	NN	xi
Jinping	NP	Jinping
,	,	,
a	DT	a
running	VVG	run
mate	NN	mate
,	,	,
Russia	NP	Russia
.	SENT	.
And	CC	and
he	PP	he
makes	VVZ	make
long	JJ	long
term	NN	term
plans	NNS	plan
for	IN	for
the	DT	the
future	NN	future
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
what	WP	what
differentiates	VVZ	differentiate
the	DT	the
true	JJ	true
world	NN	world
leaders	NNS	leader
from	IN	from
what	WP	what
we	PP	we
call	VVP	call
temps	NNS	temp
.	SENT	.
Temps	NNS	temp
only	RB	only
show	VVP	show
off	RP	off
on	IN	on
the	DT	the
world	NN	world
stage	NN	stage
for	IN	for
about	RB	about
5	CD	@card@
minutes	NNS	minute
before	IN	before
becoming	VVG	become
lost	VVN	lose
to	TO	to
world	NN	world
hi	UH	hi
Putin	NP	Putin
and	CC	and
she	PP	she
possibly	RB	possibly
leaders	NNS	leader
f	SYM	f
predicting	VVG	predict
a	DT	a
global	JJ	global
power	NN	power
shift	NN	shift
.	SENT	.
The	DT	the
decline	NN	decline
of	IN	of
democracy	NN	democracy
.	SENT	.
The	DT	the
rise	NN	rise
of	IN	of
strongman	NN	strongman
rule	NN	rule
you	PP	you
could	MD	could
hear	VV	hear
in	IN	in
Vladimir	NP	Vladimir
Putin	NP	Putin
'	POS	'
s	JJ	s
interview	NN	interview
the	DT	the
disdain	NN	disdain
he	PP	he
has	VHZ	have
for	IN	for
democratically	RB	democratically
elected	VVN	elect
leaders	NNS	leader
.	SENT	.
And	CC	and
President	NP	President
Biden	NP	Biden
has	VHZ	have
said	VVN	say
that	IN/that	that
this	DT	this
battle	NN	battle
,	,	,
Aaron	NP	Aaron
,	,	,
between	IN	between
democracy	NN	democracy
and	CC	and
autocracy	NN	autocracy
will	MD	will
be	VB	be
the	DT	the
defining	VVG	define
battle	NN	battle
of	IN	of
this	DT	this
century	NN	century
.	SENT	.
All	DT	all
right	NN	right
.	SENT	.
Well	RB	well
,	,	,
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
And	CC	and
thanks	NNS	thanks
very	RB	very
much	RB	much
to	TO	to
all	DT	all
of	IN	of
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
.	SENT	.
