inian	JJ	inian
stop	VV	stop
its	PP$	its
action	NN	action
and	CC	and
its	PP$	its
crime	NN	crime
so	RB	so
that	IN/that	that
the	DT	the
six	CD	six
provisional	JJ	provisional
measures	NNS	measure
that	IN/that	that
the	DT	the
icj	NN	icj
requested	VVD	request
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
be	VB	be
implemented	VVN	implement
and	CC	and
Mr	NP	Mr
Mansour	NP	Mansour
what	WP	what
did	VVD	do
you	PP	you
make	VVP	make
of	IN	of
the	DT	the
explanation	NN	explanation
given	VVN	give
by	IN	by
Linda	NP	Linda
Thomas	NP	Thomas
Greenfield	NP	Greenfield
the	DT	the
the	DT	the
UN	NP	UN
Ambassador	NP	Ambassador
uh	UH	uh
when	WRB	when
she	PP	she
explained	VVD	explain
why	WRB	why
the	DT	the
US	NP	US
had	VHD	have
used	VVN	use
their	PP$	their
veto	VV	veto
uh	UH	uh
she	PP	she
said	VVD	say
that	IN/that	that
the	DT	the
current	JJ	current
resolution	NN	resolution
the	DT	the
Algerian	JJ	Algerian
resolution	NN	resolution
uh	UH	uh
would	MD	would
put	VV	put
sensitive	JJ	sensitive
negotiations	NNS	negotiation
in	IN	in
Jeopardy	NN	jeopardy
that	WDT	that
is	VBZ	be
not	RB	not
true	JJ	true
because	IN	because
two	CD	two
of	IN	of
those	DT	those
who	WP	who
are	VBP	be
involved	VVN	involve
in	IN	in
this	DT	this
sensitive	JJ	sensitive
negotiation	NN	negotiation
the	DT	the
representative	NN	representative
of	IN	of
Qatar	NP	Qatar
and	CC	and
Egypt	NP	Egypt
indicated	VVD	indicate
that	IN/that	that
that	DT	that
is	VBZ	be
not	RB	not
so	RB	so
ceasefire	NN	ceasefire
will	MD	will
help	VV	help
the	DT	the
negotiation	NN	negotiation
to	TO	to
move	VV	move
forward	RB	forward
swiftly	RB	swiftly
and	CC	and
you	PP	you
know	VVP	know
to	TO	to
accomplish	VV	accomplish
the	DT	the
objective	NN	objective
of	IN	of
the	DT	the
exchange	NN	exchange
of	IN	of
prisoners	NNS	prisoner
hostages	NNS	hostage
and	CC	and
therefore	RB	therefore
it	PP	it
is	VBZ	be
not	RB	not
what	WP	what
uh	UH	uh
uh	UH	uh
what	WP	what
was	VBD	be
claimed	VVN	claim
and	CC	and
also	RB	also
let	VV	let
me	PP	me
add	VV	add
if	IN	if
the	DT	the
idea	NN	idea
that	IN/that	that
they	PP	they
are	VBP	be
now	RB	now
introducing	VVG	introduce
a	DT	a
draft	NN	draft
resolution	NN	resolution
to	TO	to
a	DT	a
call	NN	call
for	IN	for
a	DT	a
long	JJ	long
uh	UH	uh
ceasefire	NN	ceasefire
long	RB	long
lasting	JJ	lasting
ceasefire	NN	ceasefire
or	CC	or
a	DT	a
longlasting	JJ	longlasting
pause	NN	pause
who	WP	who
is	VBZ	be
stopping	VVG	stop
the	DT	the
United	NP	United
States	NPS	States
if	IN	if
it	PP	it
can	MD	can
uh	UH	uh
convince	VV	convince
Israel	NP	Israel
to	TO	to
uh	UH	uh
Implement	VV	implement
that	IN/that	that
in	IN	in
order	NN	order
to	TO	to
help	VV	help
the	DT	the
current	NN	current
you	PP	you
know	VVP	know
underway	JJ	underway
negotiation	NN	negotiation
from	IN	from
implementing	VVG	implement
that	DT	that
nobody	NN	nobody
would	MD	would
be	VB	be
objecting	VVG	object
nobody	NN	nobody
will	MD	will
be	VB	be
unhappy	JJ	unhappy
all	RB	all
of	IN	of
us	PP	us
we	PP	we
will	MD	will
welcome	VV	welcome
any	DT	any
action	NN	action
that	WDT	that
will	MD	will
Stop	VV	stop
The	DT	the
Killing	NN	killing
and	CC	and
save	VV	save
lives	NNS	life
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
um	JJ	um
so	IN	so
the	DT	the
US	NP	US
have	VHP	have
proposed	VVN	propose
their	PP$	their
own	JJ	own
draft	NN	draft
resolution	NN	resolution
what	WP	what
what	WP	what
is	VBZ	be
going	VVG	go
to	TO	to
happen	VV	happen
with	IN	with
that	WDT	that
are	VBP	be
members	NNS	member
uh	UH	uh
like	VV	like
yourself	PP	yourself
uh	UH	uh
going	VVG	go
to	TO	to
be	VB	be
examining	VVG	examine
that	IN/that	that
further	JJR	further
is	VBZ	be
that	DT	that
something	NN	something
that	IN/that	that
you	PP	you
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
consider	VV	consider
my	PP$	my
understanding	NN	understanding
that	IN/that	that
the	DT	the
the	DT	the
normal	JJ	normal
mechanism	NN	mechanism
in	IN	in
the	DT	the
security	NN	security
Council	NN	council
any	DT	any
member	NN	member
can	MD	can
introduce	VV	introduce
uh	UH	uh
draft	NN	draft
resolutions	NNS	resolution
they	PP	they
engage	VVP	engage
in	IN	in
consultations	NNS	consultation
and	CC	and
amendments	NNS	amendment
and	CC	and
changes	NNS	change
and	CC	and
if	IN	if
they	PP	they
reach	VVP	reach
an	DT	an
agreement	NN	agreement
and	CC	and
then	RB	then
they	PP	they
can	MD	can
proceeded	VVD	proceed
to	TO	to
uh	UH	uh
vote	NN	vote
on	IN	on
that	DT	that
draft	NN	draft
resolution	NN	resolution
they	PP	they
can	MD	can
also	RB	also
uh	UH	uh
introduce	VV	introduce
it	PP	it
to	TO	to
excuse	VV	excuse
me	PP	me
to	TO	to
be	VB	be
put	VVN	put
to	TO	to
a	DT	a
vote	NN	vote
even	RB	even
if	IN	if
they	PP	they
don	NN	don
'	POS	'
t	NN	t
agree	VVP	agree
provided	VVN	provide
that	IN/that	that
the	DT	the
American	JJ	American
side	NN	side
can	MD	can
Master	NP	Master
enough	JJ	enough
number	NN	number
of	IN	of
countries	NNS	country
to	TO	to
cross	VV	cross
the	DT	the
threshold	NN	threshold
without	IN	without
any	DT	any
of	IN	of
the	DT	the
permanent	JJ	permanent
members	NNS	member
to	TO	to
castavo	NP	castavo
excuse	VV	excuse
me	PP	me
okay	JJ	okay
I	PP	I
'	''	'
ll	NNS	ll
let	VVP	let
you	PP	you
go	VV	go
uh	UH	uh
thank	VV	thank
you	PP	you
so	RB	so
much	JJ	much
uh	UH	uh
for	IN	for
joining	VVG	join
us	PP	us
we	PP	we
will	MD	will
see	VV	see
we	PP	we
we	PP	we
will	VVP	will
you	PP	you
'	''	'
re	IN	re
you	PP	you
'	POS	'
re	NN	re
very	RB	very
welcome	VVP	welcome
thank	VV	thank
you	PP	you
you	PP	you
so	RB	so
much	RB	much
the	DT	the
Palestinian	JJ	Palestinian
ambassador	NN	ambassador
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
Riyad	NP	Riyad
Mansour	NP	Mansour
speaking	VVG	speak
to	TO	to
us	PP	us
there	RB	there
from	IN	from
the	DT	the
UN	NP	UN
headquarters	NN	headquarters
in	IN	in
New	NP	New
York	NP	York
