<video_id>VDnHw6GRl88</video_id>	JJ	<video_id>VDnHw6GRl88</video_id>
week	NN	week
on	IN	on
Monday	NP	Monday
the	DT	the
4th	JJ	4th
of	IN	of
March	NP	March
his	PP$	his
Excellency	NN	Excellency
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
will	VV	will
uh	UH	uh
head	NN	head
to	TO	to
Washington	NP	Washington
to	TO	to
present	VV	present
the	DT	the
Kat	NP	Kat
delegation	NN	delegation
uh	UH	uh
for	IN	for
the	DT	the
Strategic	JJ	strategic
dialogue	NN	dialogue
meetings	NNS	meeting
between	IN	between
K	NP	K
and	CC	and
America	NP	America
and	CC	and
will	MD	will
be	VB	be
will	MD	will
include	VV	include
a	DT	a
lot	NN	lot
of	IN	of
officials	NNS	official
this	DT	this
dialogue	NN	dialogue
has	VHZ	have
been	VBN	be
established	VVN	establish
in	IN	in
2014	CD	@card@
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
sixth	JJ	sixth
session	NN	session
the	DT	the
aim	NN	aim
at	IN	at
coordinate	NN	coordinate
in	IN	in
all	DT	all
fields	NNS	field
and	CC	and
domains	NNS	domain
the	DT	the
health	NN	health
and	CC	and
the	DT	the
human	JJ	human
Aid	NN	aid
humanitarian	JJ	humanitarian
Aid	NP	Aid
human	JJ	human
rights	NNS	right
clim	NN	clim
climate	NN	climate
trade	NN	trade
Commerce	NP	Commerce
culture	NN	culture
and	CC	and
education	NN	education
and	CC	and
the	DT	the
boosting	VVG	boost
the	DT	the
Strategic	JJ	strategic
cooperation	NN	cooperation
between	IN	between
both	DT	both
countries	NNS	country
the	DT	the
dialogue	NN	dialogue
will	MD	will
include	VV	include
so	RB	so
many	JJ	many
sessions	NNS	session
and	CC	and
uh	UH	uh
a	DT	a
number	NN	number
of	IN	of
sessions	NNS	session
will	MD	will
be	VB	be
added	VVN	add
in	IN	in
the	DT	the
field	NN	field
of	IN	of
international	JJ	international
coroporation	NN	coroporation
economy	NN	economy
Commerce	NP	Commerce
trade	NN	trade
and	CC	and
investment	NN	investment
combating	VVG	combat
terrorism	NN	terrorism
uh	UH	uh
cooperation	NN	cooperation
in	IN	in
the	DT	the
field	NN	field
of	IN	of
Defense	NP	Defense
culture	NN	culture
planning	VVG	plan
cular	JJ	cular
Affairs	NPS	Affairs
human	JJ	human
rights	NNS	right
and	CC	and
the	DT	the
Strategic	JJ	strategic
leasin	NN	leasin
and	CC	and
the	DT	the
humanitarian	JJ	humanitarian
Aid	NN	aid
and	CC	and
undoubtedly	RB	undoubtedly
his	PP$	his
Excellency	NN	Excellency
will	MD	will
meet	VV	meet
some	DT	some
American	JJ	American
officials	NNS	official
on	IN	on
top	JJ	top
of	IN	of
them	PP	them
blinkin	NN	blinkin
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
during	IN	during
his	PP$	his
visit	VV	visit
his	PP$	his
Excellency	NN	Excellency
minister	NN	minister
of	IN	of
interational	JJ	interational
cooperation	NN	cooperation
during	IN	during
her	PP$	her
participation	NN	participation
in	IN	in
the	DT	the
55th	JJ	55th
session	NN	session
of	IN	of
the	DT	the
human	JJ	human
Council	NN	council
in	IN	in
in	IN	in
Geneva	NP	Geneva
she	PP	she
asked	VVD	ask
for	IN	for
the	DT	the
immediate	JJ	immediate
fire	NN	fire
and	CC	and
The	DT	the
Sensation	NN	sensation
of	IN	of
fire	NN	fire
and	CC	and
she	PP	she
shed	VVD	shed
some	DT	some
lights	NNS	light
on	IN	on
the	DT	the
failure	NN	failure
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
to	TO	to
pass	VV	pass
a	DT	a
c	NN	c
resolution	NN	resolution
and	CC	and
Sudan	NP	Sudan
also	RB	also
needs	VVZ	need
a	DT	a
lot	NN	lot
of	IN	of
efforts	NNS	effort
and	CC	and
the	DT	the
political	JJ	political
immediate	JJ	immediate
solution	NN	solution
in	IN	in
order	NN	order
to	TO	to
stop	VV	stop
moderations	NNS	moderation
in	IN	in
the	DT	the
level	NN	level
of	IN	of
the	DT	the
Interior	JJ	interior
level	NN	level
and	CC	and
the	DT	the
exterior	JJ	exterior
level	NN	level
and	CC	and
also	RB	also
she	PP	she
Saida	NP	Saida
needs	VVZ	need
a	DT	a
lot	NN	lot
of	IN	of
efforts	NNS	effort
to	TO	to
unify	VV	unify
things	NNS	thing
and	CC	and
she	PP	she
condemned	VVD	condemn
the	DT	the
violations	NNS	violation
against	IN	against
the	DT	the
ringa	NN	ringa
and	CC	and
she	PP	she
hoped	VVD	hope
for	IN	for
reelecting	VVG	reelect
Kata	NP	Kata
for	IN	for
the	DT	the
council	NN	council
from	IN	from
2025	CD	@card@
till	IN	till
2027	CD	@card@
on	IN	on
Monday	NP	Monday
the	DT	the
26th	JJ	26th
of	IN	of
February	NP	February
Her	PP$	her
Excellency	NN	Excellency
has	VHZ	have
taken	VVN	take
part	NN	part
in	IN	in
the	DT	the
enlightment	NN	enlightment
conference	NN	conference
and	CC	and
she	PP	she
said	VVD	say
about	IN	about
she	PP	she
talked	VVD	talk
about	IN	about
the	DT	the
challenges	NNS	challenge
and	CC	and
uh	UH	uh
uh	UH	uh
she	PP	she
condemned	VVD	condemn
the	DT	the
genocide	NN	genocide
crimes	NNS	crime
committed	VVN	commit
by	IN	by
Israel	NP	Israel
in	IN	in
Gaza	NP	Gaza
and	CC	and
confirmed	VVD	confirm
the	DT	the
right	NN	right
of	IN	of
every	DT	every
country	NN	country
to	TO	to
have	VH	have
the	DT	the
proper	JJ	proper
energy	NN	energy
Also	RB	also
regarding	VVG	regard
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
his	PP$	his
Excellency	NN	Excellency
Excellency	NN	Excellency
also	RB	also
uh	UH	uh
focused	VVN	focus
on	IN	on
this	DT	this
particularly	RB	particularly
the	DT	the
crisis	NN	crisis
in	IN	in
Rafa	NP	Rafa
and	CC	and
confirmed	VVD	confirm
the	DT	the
need	NN	need
to	TO	to
stop	VV	stop
in	IN	in
Israeli	JJ	Israeli
incursion	NN	incursion
in	IN	in
RAF	NN	RAF
on	IN	on
the	DT	the
Lance	NP	Lance
of	IN	of
these	DT	these
meetings	NNS	meeting
she	PP	she
met	VVD	meet
RI	NP	RI
Maliki	NP	Maliki
the	DT	the
foreign	JJ	foreign
minister	NN	minister
of	IN	of
Palestine	NP	Palestine
Abdullah	NP	Abdullah
Minister	NP	Minister
foreign	JJ	foreign
affairs	NNS	affair
in	IN	in
qat	NN	qat
and	CC	and
she	PP	she
will	MD	will
meet	VV	meet
today	NN	today
with	IN	with
Minister	NP	Minister
Park	NP	Park
the	DT	the
executive	JJ	executive
director	NN	director
of	IN	of
the	DT	the
international	JJ	international
campaign	NN	campaign
to	TO	to
U	NP	U
councel	NN	councel
the	DT	the
nuclear	JJ	nuclear
weapons	NNS	weapon
and	CC	and
the	DT	the
foreign	JJ	foreign
minister	NN	minister
of	IN	of
Netherland	NP	Netherland
and	CC	and
the	DT	the
deputy	JJ	deputy
foreign	JJ	foreign
minister	NN	minister
of	IN	of
Italy	NP	Italy
Ral	NP	Ral
cooperation	NN	cooperation
then	RB	then
she	PP	she
will	MD	will
move	VV	move
to	TO	to
antalia	NN	antalia
to	TO	to
take	VV	take
part	NN	part
in	IN	in
the	DT	the
antalia	NN	antalia
the	DT	the
diplomatic	JJ	diplomatic
meeting	NN	meeting
from	IN	from
the	DT	the
1st	JJ	1st
to	TO	to
the	DT	the
3rd	JJ	3rd
of	IN	of
March	NP	March
Dr	NP	Dr
mm	NN	mm.
ABD	NP	ABD
aiz	NN	aiz
minister	NN	minister
of	IN	of
estate	NN	estate
and	CC	and
the	DT	the
foreign	JJ	foreign
minister	NN	minister
met	VVN	meet
on	IN	on
Tuesday	NP	Tuesday
the	DT	the
20th	JJ	20th
of	IN	of
February	NP	February
with	IN	with
Andreas	NP	Andreas
mfield	NN	mfield
minister	NN	minister
of	IN	of
State	NP	State
in	IN	in
the	DT	the
foreign	JJ	foreign
Ministry	NP	Ministry
in	IN	in
Norway	NP	Norway
and	CC	and
his	PP$	his
Excellency	NN	Excellency
David	NP	David
southerfield	NP	southerfield
the	DT	the
American	JJ	American
in	IN	in
private	JJ	private
special	JJ	special
invo	NN	invo
to	TO	to
the	DT	the
Middle	NP	Middle
East	NP	East
this	DT	this
all	RB	all
what	WP	what
I	PP	I
have	VHP	have
and	CC	and
if	IN	if
you	PP	you
have	VHP	have
any	DT	any
questions	NNS	question
I'll	NN	I'll
be	VB	be
ready	JJ	ready
fromer	NN	fromer
thank	VV	thank
you	PP	you
Dr	NP	Dr
Majid	NP	Majid
the	DT	the
statement	NN	statement
of	IN	of
Biden	NP	Biden
yesterday	NN	yesterday
that	IN/that	that
I	PP	I
optimistic	JJ	optimistic
and	CC	and
the	DT	the
reservations	NNS	reservation
of	IN	of
Hamas	NNS	Hamas
according	VVG	accord
to	TO	to
us	PP	us
hamdan	NN	hamdan
where	WRB	where
are	VBP	be
now	RB	now
the	DT	the
mediation	NN	mediation
efforts	NNS	effort
and	CC	and
uh	UH	uh
is	VBZ	be
there	RB	there
a	DT	a
real	JJ	real
breakthrough	NN	breakthrough
and	CC	and
this	DT	this
can	MD	can
lead	VV	lead
to	TO	to
more	JJR	more
optimism	NN	optimism
we	PP	we
are	VBP	be
still	RB	still
waiting	VVG	wait
for	IN	for
the	DT	the
announcement	NN	announcement
of	IN	of
the	DT	the
agreement	NN	agreement
within	IN	within
days	NNS	day
thank	VVP	thank
you	PP	you
regarding	VVG	regard
the	DT	the
mediation	NN	mediation
at	IN	at
the	DT	the
time	NN	time
being	VBG	be
or	CC	or
for	IN	for
the	DT	the
time	NN	time
being	VBG	be
as	IN	as
we	PP	we
have	VHP	have
said	VVN	say
before	IN	before
so	RB	so
many	JJ	many
developments	NNS	development
have	VHP	have
uh	UH	uh
occurred	VVD	occur
and	CC	and
uh	UH	uh
the	DT	the
meetings	NNS	meeting
that	WDT	that
have	VHP	have
been	VBN	be
dealt	VVN	deal
with	IN	with
through	IN	through
the	DT	the
media	NNS	medium
we	PP	we
don't	VVD	don't
have	VH	have
particular	JJ	particular
thing	NN	thing
to	TO	to
announce	VV	announce
today	NN	today
but	CC	but
we	PP	we
are	VBP	be
uh	UH	uh
we	PP	we
feel	VVP	feel
optimistic	JJ	optimistic
and	CC	and
uh	UH	uh
the	DT	the
ongoing	JJ	ongoing
talks	NNS	talk
are	VBP	be
there	RB	there
amongst	IN	amongst
the	DT	the
parties	NNS	party
concerned	VVN	concern
but	CC	but
there's	RB	there's
no	DT	no
uh	UH	uh
particular	JJ	particular
development	NN	development
for	IN	for
the	DT	the
time	NN	time
being	VBG	be
we	PP	we
are	VBP	be
still	RB	still
within	IN	within
the	DT	the
framework	NN	framework
of	IN	of
the	DT	the
mediation	NN	mediation
we	PP	we
heard	VVD	hear
some	DT	some
statements	NNS	statement
here	RB	here
and	CC	and
there	RB	there
through	IN	through
the	DT	the
media	NNS	medium
Outlets	NNS	outlet
is	VBZ	be
the	DT	the
visit	NN	visit
of	IN	of
His	PP$	his
Highness	NN	highness
the	DT	the
Amir	NP	Amir
to	TO	to
France	NP	France
will	MD	will
be	VB	be
accompanied	VVN	accompany
by	IN	by
a	DT	a
solid	JJ	solid
result	NN	result
of	IN	of
break	NN	break
through	IN	through
in	IN	in
this	DT	this
uh	UH	uh
effort	NN	effort
of	IN	of
mediation	NN	mediation
particularly	RB	particularly
there	EX	there
are	VBP	be
meetings	NNS	meeting
in	IN	in
Paris	NP	Paris
regarding	VVG	regard
the	DT	the
gas	NN	gas
summon	VV	summon
that	WDT	that
would	MD	would
be	VB	be
held	VVN	hold
in	IN	in
Algeria	NP	Algeria
and	CC	and
hisus	NP	hisus
the	DT	the
Amir	NP	Amir
will	MD	will
take	VV	take
part	NN	part
as	IN	as
well	RB	well
or	CC	or
there	EX	there
are	VBP	be
there	RB	there
any	DT	any
particular	JJ	particular
steps	NNS	step
in	IN	in
this	DT	this
connection	NN	connection
regarding	VVG	regard
the	DT	the
visit	NN	visit
of	IN	of
his	PP$	his
hir	NN	hir
to	TO	to
France	NP	France
it's	NNS	it's
a	DT	a
minister	NN	minister
of	IN	of
state	NN	state
and	CC	and
is	VBZ	be
related	VVN	relate
to	TO	to
the	DT	the
bilateral	JJ	bilateral
relations	NNS	relation
between	IN	between
the	DT	the
two	CD	two
countries	NNS	country
regarding	VVG	regard
the	DT	the
Summit	NP	Summit
I	PP	I
have	VHP	have
no	DT	no
I	PP	I
documented	VVD	document
idea	NN	idea
for	IN	for
the	DT	the
time	NN	time
being	VBG	be
and	CC	and
I	PP	I
will	MD	will
tell	VV	tell
you	PP	you
later	RBR	later
if	IN	if
I	PP	I
have	VHP	have
we	PP	we
have	VHP	have
seen	VVN	see
during	IN	during
uh	UH	uh
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
some	DT	some
development	NN	development
or	CC	or
some	DT	some
incident	NN	incident
regarding	VVG	regard
the	DT	the
meeting	NN	meeting
of	IN	of
His	PP$	his
Highness	NN	highness
the	DT	the
Amir	NP	Amir
with	IN	with
is	VBZ	be
chief	JJ	chief
of	IN	of
the	DT	the
political	JJ	political
Bureau	NP	Bureau
of	IN	of
Hamas	NP	Hamas
in	IN	in
Doha	NP	Doha
and	CC	and
a	DT	a
visit	NN	visit
by	IN	by
a	DT	a
a	DT	a
delegation	NN	delegation
from	IN	from
Israel	NP	Israel
to	TO	to
Doha	NP	Doha
also	RB	also
theist	JJ	theist
the	DT	the
Amir	NP	Amir
is	VBZ	be
in	IN	in
a	DT	a
visit	NN	visit
now	RB	now
to	TO	to
Paris	NP	Paris
can	MD	can
we	PP	we
have	VH	have
any	DT	any
connection	NN	connection
between	IN	between
these	DT	these
events	NNS	event
and	CC	and
can	MD	can
we	PP	we
expect	VV	expect
a	DT	a
cease	VV	cease
fire	NN	fire
or	CC	or
truths	NNS	truth
or	CC	or
even	RB	even
a	DT	a
s	NN	S
of	IN	of
a	DT	a
Cession	NN	cession
before	IN	before
the	DT	the
month	NN	month
of	IN	of
Ramadan	NP	Ramadan
as	IN	as
I	PP	I
said	VVD	say
we	PP	we
don't	VVD	don't
have	VH	have
anything	NN	anything
now	RB	now
to	TO	to
announced	VVN	announce
the	DT	the
efforts	NNS	effort
are	VBP	be
being	VBG	be
made	VVN	make
meetings	NNS	meeting
are	VBP	be
ongoing	JJ	ongoing
on	IN	on
all	DT	all
levels	NNS	level
and	CC	and
as	IN	as
we	PP	we
said	VVD	say
we	PP	we
we	PP	we
need	VVP	need
to	TO	to
be	VB	be
optimistic	JJ	optimistic
but	CC	but
we	PP	we
don't	VVD	don't
have	VH	have
certain	JJ	certain
thing	NN	thing
to	TO	to
announce	VV	announce
now	RB	now
I	PP	I
have	VHP	have
a	DT	a
question	NN	question
regarding	VVG	regard
the	DT	the
starvation	NN	starvation
in	IN	in
Gaza	NP	Gaza
and	CC	and
uh	UH	uh
this	DT	this
starvation	NN	starvation
matter	NN	matter
is	VBZ	be
the	DT	the
Salvation	NP	Salvation
matter	NN	matter
contained	VVD	contain
within	IN	within
the	DT	the
mediation	NN	mediation
efforts	NNS	effort
yes	RB	yes
undoubtedly	RB	undoubtedly
uh	UH	uh
the	DT	the
International	NP	International
Community	NP	Community
as	IN	as
a	DT	a
whole	NN	whole
is	VBZ	be
uh	UH	uh
clearly	RB	clearly
uh	UH	uh
standing	NN	standing
against	IN	against
the	DT	the
uh	UH	uh
starvation	NN	starvation
in	IN	in
Gaza	NP	Gaza
Strip	NP	Strip
not	RB	not
only	RB	only
on	IN	on
the	DT	the
north	NN	north
but	CC	but
in	IN	in
the	DT	the
entire	NN	entire
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
we	PP	we
have	VHP	have
seen	VVN	see
videos	NNS	video
that	IN/that	that
they	PP	they
wct	VVP	wct
this	DT	this
painful	JJ	painful
humanitarian	JJ	humanitarian
uh	UH	uh
position	NN	position
in	IN	in
Gaza	NP	Gaza
thousands	NNS	thousand
and	CC	and
thousands	NNS	thousand
of	IN	of
people	NNS	people
without	IN	without
water	NN	water
without	IN	without
food	NN	food
without	IN	without
electricity	NN	electricity
without	IN	without
even	RB	even
the	DT	the
basic	JJ	basic
things	NNS	thing
for	IN	for
a	DT	a
normal	JJ	normal
life	NN	life
it	PP	it
is	VBZ	be
a	DT	a
catastrophe	NN	catastrophe
that	WDT	that
uh	UH	uh
uh	UH	uh
we	PP	we
should	MD	should
not	RB	not
give	VV	give
a	DT	a
blind	JJ	blind
eye	NN	eye
to	TO	to
it	PP	it
not	RB	not
only	RB	only
within	IN	within
the	DT	the
talks	NNS	talk
but	CC	but
we	PP	we
have	VHP	have
said	VVN	say
that	IN/that	that
always	RB	always
that	IN/that	that
the	DT	the
humanitarian	JJ	humanitarian
uh	UH	uh
side	NN	side
must	MD	must
be	VB	be
always	RB	always
there	RB	there
the	DT	the
what	WP	what
is	VBZ	be
going	VVG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
a	DT	a
violation	NN	violation
to	TO	to
the	DT	the
international	JJ	international
laws	NNS	law
International	NP	International
Norms	NNS	norm
International	NP	International
agreements	NNS	agreement
and	CC	and
it	PP	it
is	VBZ	be
painful	JJ	painful
to	TO	to
see	VV	see
this	DT	this
spot	NN	spot
as	IN	as
uh	UH	uh
as	RB	as
included	VVN	include
in	IN	in
the	DT	the
media	NNS	medium
aan	NN	aan
talks	NNS	talk
but	CC	but
undoubtedly	RB	undoubtedly
as	IN	as
I	PP	I
said	VVD	say
the	DT	the
humanitarian	JJ	humanitarian
side	NN	side
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
part	NN	part
of	IN	of
our	PP$	our
efforts	NNS	effort
despite	IN	despite
the	DT	the
Israeli	JJ	Israeli
negative	JJ	negative
reactions	NNS	reaction
and	CC	and
the	DT	the
situation	NN	situation
of	IN	of
Hamas	NP	Hamas
and	CC	and
three	CD	three
American	JJ	American
vors	NNS	vors
but	CC	but
Biden	NP	Biden
still	RB	still
say	VVP	say
that	IN/that	that
there	EX	there
might	MD	might
be	VB	be
a	DT	a
truce	NN	truce
on	IN	on
Monday	NP	Monday
is	VBZ	be
this	DT	this
the	DT	the
result	NN	result
of	IN	of
the	DT	the
Paris	NP	Paris
talks	NNS	talk
or	CC	or
it	PP	it
is	VBZ	be
something	NN	something
from	IN	from
President	NP	President
Biden	NP	Biden
and	CC	and
the	DT	the
Israeli	JJ	Israeli
silence	NN	silence
does	VVZ	do
it	PP	it
mean	VV	mean
Israel	NP	Israel
accepts	VVZ	accept
that	IN/that	that
another	DT	another
question	NN	question
regarding	IN	regarding
the	DT	the
uh	UH	uh
content	NN	content
of	IN	of
the	DT	the
icg	NN	icg
and	CC	and
the	DT	the
Israelis	NPS	Israelis
secret	JJ	secret
repes	NNS	repes
do	VVP	do
you	PP	you
think	VVP	think
one	CD	one
day	NN	day
we	PP	we
will	MD	will
know	VV	know
more	JJR	more
about	IN	about
this	DT	this
I'll	NP	I'll
start	NN	start
by	IN	by
saying	VVG	say
that	IN/that	that
no	DT	no
comment	NN	comment
regarding	VVG	regard
the	DT	the
current	JJ	current
talks	NNS	talk
and	CC	and
negotiations	NNS	negotiation
regarding	VVG	regard
what	WP	what
has	VHZ	have
been	VBN	be
said	VVN	say
by	IN	by
Biden	NP	Biden
probably	RB	probably
to	TO	to
ask	VV	ask
the	DT	the
White	NP	White
House	NP	House
is	VBZ	be
better	JJR	good
but	CC	but
let	VVP	let
me	PP	me
say	VVP	say
that	IN/that	that
the	DT	the
efforts	NNS	effort
are	VBP	be
ongoing	JJ	ongoing
meetings	NNS	meeting
and	CC	and
talks	NNS	talk
are	VBP	be
ongoing	JJ	ongoing
and	CC	and
all	DT	all
parties	NNS	party
are	VBP	be
involved	VVN	involve
but	CC	but
we	PP	we
hope	VVP	hope
that	IN/that	that
uh	UH	uh
the	DT	the
session	NN	session
will	MD	will
be	VB	be
today	NN	today
before	IN	before
tomorrow	NN	tomorrow
but	CC	but
we	PP	we
don't	VVD	don't
have	VH	have
anything	NN	anything
particular	JJ	particular
to	TO	to
say	VV	say
mad	JJ	mad
F	NN	F
from	IN	from
jaaz	NP	jaaz
English	NP	English
I	PP	I
want	VVP	want
to	TO	to
ask	VV	ask
about	IN	about
the	DT	the
delivery	NN	delivery
of	IN	of
the	DT	the
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
Gaza	NP	Gaza
we	PP	we
had	VHD	have
some	DT	some
news	NN	news
that	IN/that	that
the	DT	the
jordanians	NNS	Jordanian
have	VHP	have
air	NN	air
dropped	VVD	drop
some	DT	some
humanitarian	JJ	humanitarian
Aid	NN	aid
on	IN	on
the	DT	the
Gaza	NP	Gaza
Beach	NP	Beach
and	CC	and
this	DT	this
was	VBD	be
really	RB	really
difficult	JJ	difficult
and	CC	and
people	NNS	people
have	VHP	have
used	VVN	use
little	JJ	little
boats	NNS	boat
to	TO	to
go	VV	go
uh	UH	uh
deep	RB	deep
into	IN	into
the	DT	the
sea	NN	sea
to	TO	to
get	VV	get
some	DT	some
Aid	NN	aid
like	IN	like
flour	NN	flour
and	CC	and
other	JJ	other
things	NNS	thing
Doha	NP	Doha
has	VHZ	have
sent	VVN	send
humanitarian	JJ	humanitarian
Aid	NN	aid
in	IN	in
cooperation	NN	cooperation
with	IN	with
the	DT	the
French	JJ	French
PE	NN	pe
officials	NNS	official
do	VVP	do
you	PP	you
have	VHP	have
any	DT	any
green	JJ	green
light	NN	light
that	WDT	that
say	VVP	say
that	IN/that	that
these	DT	these
Aid	NN	aid
will	MD	will
enter	VV	enter
Gaza	NP	Gaza
will	MD	will
go	VV	go
to	TO	to
Gaza	NP	Gaza
has	VHZ	have
the	DT	the
Israelis	NPS	Israelis
or	CC	or
have	VH	have
the	DT	the
Israelis	NPS	Israelis
submitted	VVD	submit
any	DT	any
flexibility	NN	flexibility
to	TO	to
the	DT	the
negotiators	NNS	negotiator
we	PP	we
appreciate	VVP	appreciate
the	DT	the
efforts	NNS	effort
of	IN	of
every	DT	every
country	NN	country
Regional	JJ	regional
countries	NNS	country
International	NP	International
countries	NNS	country
to	TO	to
deliver	VV	deliver
the	DT	the
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
the	DT	the
gazin	NN	gazin
the	DT	the
lift	NN	lift
that	WDT	that
has	VHZ	have
been	VBN	be
made	VVN	make
to	TO	to
send	VV	send
C	NP	C
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
Gaza	NP	Gaza
challenges	NNS	challenge
regarding	VVG	regard
this	DT	this
humanitarian	JJ	humanitarian
Aid	NN	aid
are	VBP	be
ongoing	JJ	ongoing
and	CC	and
yesterday	NN	yesterday
some	RB	some
reports	VVZ	report
uh	UH	uh
were	VBD	be
uh	UH	uh
saying	VVG	say
that	IN/that	that
almost	RB	almost
half	JJ	half
of	IN	of
these	DT	these
humanitarian	JJ	humanitarian
Aid	NN	aid
have	VHP	have
entered	VVN	enter
only	RB	only
and	CC	and
on	IN	on
The	DT	the
Daily	JJ	daily
uh	UH	uh
uh	UH	uh
work	NN	work
and	CC	and
efforts	NNS	effort
being	VBG	be
exerted	VVN	exert
the	DT	the
the	DT	the
Palestinian	JJ	Palestinian
red	JJ	red
CES	NN	CES
said	VVD	say
that	IN/that	that
20	LS	@card@
uh	UH	uh
4	CD	@card@
hours	NNS	hour
48	CD	@card@
hours	NNS	hour
will	MD	will
be	VB	be
hold	VV	hold
of	IN	of
this	DT	this
delivery	NN	delivery
and	CC	and
the	DT	the
situation	NN	situation
is	VBZ	be
deteriorating	VVG	deteriorate
and	CC	and
undoubtedly	RB	undoubtedly
the	DT	the
International	NP	International
Community	NP	Community
must	MD	must
be	VB	be
serious	JJ	serious
in	IN	in
dealing	VVG	deal
with	IN	with
this	DT	this
matter	NN	matter
this	DT	this
is	VBZ	be
a	DT	a
clear	JJ	clear
violation	NN	violation
to	TO	to
the	DT	the
international	JJ	international
law	NN	law
and	CC	and
this	DT	this
must	MD	must
be	VB	be
dealt	VVN	deal
