<video_id>Up9WuQeuYYw</video_id>	JJ	<video_id>Up9WuQeuYYw</video_id>
people	NNS	people
cannot	MD	can
justify	VV	justify
the	DT	the
appalling	JJ	appalling
attacks	NNS	attack
by	IN	by
amas	NNS	amas
it	PP	it
was	VBD	be
necessary	JJ	necessary
to	TO	to
set	VV	set
the	DT	the
record	NN	record
straight	RB	straight
especially	RB	especially
out	IN	out
of	IN	of
respect	NN	respect
to	TO	to
the	DT	the
victims	NNS	victim
and	CC	and
to	TO	to
their	PP$	their
families	NNS	family
thank	VVP	thank
you	PP	you
thank	VVP	thank
you	PP	you
you	PP	you
have	VHP	have
just	RB	just
watched	VVN	watch
a	DT	a
90	CD	@card@
second	JJ	second
speech	NN	speech
by	IN	by
the	DT	the
Secretary	NP	Secretary
General	NP	General
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
Antonio	NP	Antonio
gueras	NNS	gueras
now	RB	now
we	PP	we
admittedly	RB	admittedly
missed	VVD	miss
the	DT	the
first	JJ	first
line	NN	line
I	PP	I
think	VVP	think
missed	VVN	miss
the	DT	the
first	JJ	first
line	NN	line
or	CC	or
two	CD	two
but	CC	but
and	CC	and
and	CC	and
I	PP	I
say	VVP	say
this	DT	this
as	IN	as
I	PP	I
bring	VVP	bring
in	IN	in
M	NP	M
zi	NNS	zi
who	WP	who
just	RB	just
watched	VVD	watch
this	DT	this
with	IN	with
us	PP	us
on	RB	on
set	VVD	set
here	RB	here
in	IN	in
Doha	NP	Doha
um	JJ	um
it's	NNS	it's
I	PP	I
don't	VVD	don't
know	VV	know
how	WRB	how
to	TO	to
describe	VV	describe
this	DT	this
as	IN	as
anything	NN	anything
other	JJ	other
than	IN	than
the	DT	the
UN	NP	UN
Secretary	NP	Secretary
General	NP	General
justifying	VVG	justify
himself	PP	himself
and	CC	and
I	PP	I
assume	VVP	assume
it	PP	it
was	VBD	be
justifying	VVG	justify
the	DT	the
speech	NN	speech
that	IN/that	that
he	PP	he
made	VVD	make
yesterday	NN	yesterday
we	PP	we
were	VBD	be
just	RB	just
talking	VVG	talk
about	IN	about
this	DT	this
weren't	NN	weren't
we	PP	we
diplomacy	NN	diplomacy
at	IN	at
the	DT	the
UN	NP	UN
and	CC	and
yesterday	NN	yesterday
you	PP	you
explained	VVD	explain
to	TO	to
us	PP	us
that	IN/that	that
he	PP	he
made	VVD	make
waves	NNS	wave
when	WRB	when
he	PP	he
said	VVD	say
what	WP	what
is	VBZ	be
happening	VVG	happen
right	RB	right
now	RB	now
what	WP	what
um	VVZ	um
I	PP	I
beg	VV	beg
your	PP$	your
pardon	NN	pardon
the	DT	the
uh	UH	uh
Hamas	NN	Hamas
attack	NN	attack
did	VVD	do
not	RB	not
happen	VV	happen
in	IN	in
a	DT	a
vacuum	NN	vacuum
that	WDT	that
was	VBD	be
his	PP$	his
quote	NN	quote
the	DT	the
Hamas	JJ	Hamas
attack	NN	attack
did	VVD	do
not	RB	not
happen	VV	happen
in	IN	in
a	DT	a
vacuum	NN	vacuum
end	NN	end
quote	VV	quote
uh	UH	uh
you	PP	you
were	VBD	be
explaining	VVG	explain
to	TO	to
us	PP	us
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
were	VBD	be
furious	JJ	furious
at	IN	at
this	DT	this
and	CC	and
we	PP	we
just	RB	just
saw	VVD	see
the	DT	the
UN	NP	UN
Secretary	NP	Secretary
General	NP	General
essentially	RB	essentially
say	VVP	say
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
said	VVD	say
this	DT	this
is	VBZ	be
why	WRB	why
I	PP	I
said	VVD	say
said	VVD	say
it	PP	it
I	PP	I
think	VVP	think
he	PP	he
was	VBD	be
he	PP	he
was	VBD	be
reminding	VVG	remind
um	JJ	um
U	NP	U
the	DT	the
world	NN	world
and	CC	and
the	DT	the
Israelis	NNS	Israeli
that	IN/that	that
he	PP	he
condemned	VVD	condemn
what	WP	what
happened	VVD	happen
in	IN	in
7th	JJ	7th
of	IN	of
October	NP	October
actually	RB	actually
pre	JJ	pre
to	TO	to
his	PP$	his
speech	NN	speech
yesterday	NN	yesterday
because	IN	because
and	CC	and
the	DT	the
first	JJ	first
hold	NN	hold
on	IN	on
MAR	NN	mar
I	PP	I
have	VHP	have
the	DT	the
exact	JJ	exact
quote	NN	quote
yes	RB	yes
because	IN	because
we	PP	we
tuned	VVD	tune
in	IN	in
20	CD	@card@
seconds	NNS	second
late	RB	late
and	CC	and
well	RB	well
not	RB	not
late	JJ	late
but	CC	but
this	DT	this
was	VBD	be
a	DT	a
two-minute	JJ	two-minute
speech	NN	speech
Yes	RB	yes
the	DT	the
quote	NN	quote
is	VBZ	be
gueras	NN	gueras
says	VVZ	say
that	IN/that	that
it	PP	it
is	VBZ	be
false	JJ	false
to	TO	to
say	VV	say
he	PP	he
was	VBD	be
justifying	VVG	justify
acts	NNS	act
of	IN	of
Terror	NN	terror
by	IN	by
Hamas	NP	Hamas
it	PP	it
is	VBZ	be
false	JJ	false
to	TO	to
say	VV	say
he	PP	he
was	VBD	be
justifying	VVG	justify
acts	NNS	act
of	IN	of
Terror	NN	terror
by	IN	by
Hamas	NP	Hamas
that	WDT	that
is	VBZ	be
what	WP	what
he	PP	he
was	VBD	be
accused	VVN	accuse
of	IN	of
doing	VVG	do
by	IN	by
Israel	NP	Israel
yes	NN	yes
because	IN	because
the	DT	the
the	DT	the
the	DT	the
the	DT	the
political	JJ	political
bullying	VVG	bully
that	IN/that	that
he	PP	he
was	VBD	be
facing	VVG	face
in	IN	in
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
was	VBD	be
outraged	JJ	outraged
he	PP	he
was	VBD	be
bullied	VVN	bully
actually	RB	actually
in	IN	in
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
by	IN	by
the	DT	the
Israelis	NPS	Israelis
putting	VVG	put
him	PP	him
in	IN	in
the	DT	the
corner	NN	corner
saying	VVG	say
that	IN/that	that
actually	RB	actually
look	VV	look
what	WP	what
you	PP	you
said	VVD	say
is	VBZ	be
not	RB	not
acceptable	JJ	acceptable
because	IN	because
you	PP	you
know	VVP	know
you	PP	you
are	VBP	be
not	RB	not
talking	VVG	talk
about	IN	about
what	WP	what
happened	VVD	happen
in	IN	in
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
I	PP	I
think	VVP	think
his	PP$	his
n	NN	n
60	CD	@card@
seconds	NNS	second
is	VBZ	be
trying	VVG	try
to	TO	to
fix	VV	fix
the	DT	the
record	NN	record
as	IN	as
he	PP	he
said	VVD	say
correctly	RB	correctly
by	IN	by
saying	VVG	say
he	PP	he
condemned	VVD	condemn
what	WP	what
Hamas	NP	Hamas
did	VVD	do
he	PP	he
he's	NN	he's
shocked	VVN	shock
by	IN	by
the	DT	the
Mis	NP	Mis
interpretations	NNS	interpretation
of	IN	of
his	PP$	his
statement	NN	statement
to	TO	to
the	DT	the
security	NN	security
Council	NN	council
on	IN	on
Tuesday	NP	Tuesday
um	NNS	um
I	PP	I
think	VVP	think
he	PP	he
was	VBD	be
also	RB	also
reacting	VVG	react
to	TO	to
the	DT	the
call	NN	call
for	IN	for
his	PP$	his
resignation	NN	resignation
and	CC	and
to	TO	to
uh	UH	uh
his	PP$	his
statement	NN	statement
I	PP	I
think	VVP	think
it	PP	it
was	VBD	be
very	RB	very
clear	JJ	clear
message	NN	message
that	IN/that	that
you	PP	you
know	VVP	know
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
said	VVD	say
and	CC	and
this	DT	this
is	VBZ	be
also	RB	also
uh	UH	uh
what	WP	what
I	PP	I
believe	VVP	believe
in	IN	in
uh	UH	uh
it	PP	it
was	VBD	be
it	PP	it
was	VBD	be
very	RB	very
you	PP	you
know	VVP	know
strong	JJ	strong
statement	NN	statement
from	IN	from
him	PP	him
this	DT	this
is	VBZ	be
really	RB	really
interesting	JJ	interesting
I	PP	I
don't	VVD	don't
I	PP	I
don't	VVD	don't
recall	VV	recall
frankly	RB	frankly
uh	UH	uh
un	NN	un
Secretary	NP	Secretary
General	NP	General
having	VHG	have
having	VHG	have
done	VVN	do
anything	NN	anything
quite	RB	quite
like	IN	like
this	DT	this
in	IN	in
this	DT	this
format	NN	format
under	IN	under
these	DT	these
circumstances	NNS	circumstance
to	TO	to
come	VV	come
in	IN	in
to	TO	to
make	VV	make
a	DT	a
statement	NN	statement
to	TO	to
the	DT	the
world	NN	world
which	WDT	which
is	VBZ	be
a	DT	a
prepared	JJ	prepared
statement	NN	statement
that	IN/that	that
he	PP	he
had	VHD	have
time	NN	time
to	TO	to
you	PP	you
know	VVP	know
he	PP	he
had	VHD	have
time	NN	time
to	TO	to
calibrate	VV	calibrate
his	PP$	his
language	NN	language
to	TO	to
yesterday	NN	yesterday
I	PP	I
mean	VVP	mean
sorry	JJ	sorry
I'm	NN	I'm
using	VVG	use
bued	JJ	bued
in	IN	in
buling	VVG	buling
he	PP	he
was	VBD	be
buing	VVG	buing
actually	RB	actually
in	IN	in
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
a	DT	a
lot	NN	lot
in	IN	in
the	DT	the
media	NNS	medium
especially	RB	especially
from	IN	from
Israeli	JJ	Israeli
media	NNS	medium
it	PP	it
was	VBD	be
you	PP	you
know	VVP	know
okay	VV	okay
uh	UH	uh
I	PP	I
think	VVP	think
we'll	JJ	we'll
talk	NN	talk
about	IN	about
this	DT	this
again	RB	again
M	NP	M
thanks	NNS	thanks
for	IN	for
your	PP$	your
snap	JJ	snap
analysis	NN	analysis
on	IN	on
this	DT	this
</doc>	NN	</doc>
