<video_id>0SCi65LOYFY</video_id>	JJ	<video_id>0SCi65LOYFY</video_id>
your	PP$	your
forehead	NN	forehead
not	RB	not
for	IN	for
the	DT	the
cameras	NNS	camera
not	RB	not
for	IN	for
anything	NN	anything
else	RB	else
you	PP	you
deserve	VVP	deserve
more	RBR	more
allow	VV	allow
me	PP	me
to	TO	to
kiss	VV	kiss
your	PP$	your
forehead	NN	forehead
may	MD	may
Allah	NP	Allah
have	VHP	have
mercy	NN	mercy
on	IN	on
Ham's	NP	Ham's
soul	NN	soul
and	CC	and
on	IN	on
everybody's	NN	everybody's
souls	NNS	soul
</doc>	NN	</doc>
