<video_id>xn4HNDyy5F4</video_id>	NP	<video_id>xn4HNDyy5F4</video_id>
several	JJ	several
weeks	NNS	week
ago	RB	ago
and	CC	and
so	RB	so
wants	VVZ	want
the	DT	the
court	NN	court
to	TO	to
put	VV	put
in	IN	in
place	NN	place
additional	JJ	additional
measures	NNS	measure
what	WP	what
those	DT	those
measures	NNS	measure
are	VBP	be
is	VBZ	be
unclear	JJ	unclear
but	CC	but
we	PP	we
know	VVP	know
that	IN/that	that
Africa	NP	Africa
is	VBZ	be
asking	VVG	ask
for	IN	for
a	DT	a
declaration	NN	declaration
that	WDT	that
ultimately	RB	ultimately
would	MD	would
protect	VV	protect
Palestinian	JJ	Palestinian
lives	NNS	life
for	IN	for
Miller	NP	Miller
there	RB	there
with	IN	with
the	DT	the
latest	JJS	late
on	IN	on
that	DT	that
move	NN	move
from	IN	from
South	NP	South
Africa	NP	Africa
for	IN	for
us	PP	us
from	IN	from
Johannesburg	NP	Johannesburg
thanks	NNS	thanks
for	IN	for
MEA	NN	mea
</doc>	NN	</doc>
