<video_id>GlXvXkTZVZE</video_id>	JJ	<video_id>GlXvXkTZVZE</video_id>
happen	VV	happen
when	WRB	when
we	PP	we
get	VVP	get
there	RB	there
and	CC	and
there's	RB	there's
only	RB	only
one	CD	one
real	JJ	real
conclusion	NN	conclusion
you	PP	you
can	MD	can
draw	VV	draw
from	IN	from
that	IN/that	that
perhaps	RB	perhaps
the	DT	the
organizers	NNS	organizer
don't	VVD	don't
even	RB	even
know	VV	know
what's	NNS	what's
going	VVG	go
to	TO	to
happen	VV	happen
when	WRB	when
they	PP	they
get	VVP	get
off	RP	off
the	DT	the
coast	NN	coast
of	IN	of
Gaza	NP	Gaza
okay	JJ	okay
Iman	NP	Iman
thanks	NNS	thanks
for	IN	for
that	DT	that
Iman	NP	Iman
KH	NP	KH
live	VVP	live
live	JJ	live
for	IN	for
us	PP	us
there	RB	there
in	IN	in
Cyprus	NP	Cyprus
</doc>	NP	</doc>
